Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
RM-08-M43,,M43=6321.07,Oval,25.18,10.17,8,4,4,5,4.3,2.5,3,3,2.8,0.5,0.5,1,0.7,7,5,6,6,0.27,0.11,0.16
RM-08-M43,,M43=6321.08,Square,16.77,11.45,8,2.5,5,5.5,4.3,3,2.5,4.5,3.3,0.5,0.5,1,0.7,6,6,5,6,0.18,0.11,0.09
RM-08-M43,,M43=6321.09,Square,19.01,13,5,5,4,4,4.3,3,3,3,3.0,0.25,2,2.5,1.6,4,4,3,4,0.22,0.11,0.02
RM-08-M43,,M43=6321.10,Square,17.38,12.13,7,4,4,8,5.3,3,2.5,3,2.8,0.5,0,0,0.2,5,4,3,4,0.88,0.38,0.52
RM-08-M43,,M43=6321.11,Oval,13.79,8.08,6,5,4,4,4.3,3,3,3,3.0,0,0.5,0.5,0.3,4,3,4,4,0.15,0.07,0.09
RM-08-M43,PICFM-49/22-RM12,M43=6503.01,Square,22.78,9.35,5,3,3,3,3.0,2.5,2.5,5,3.3,0.5,2,1,1.2,7,7,9,8,0.32,0.14,0.17
RM-08-M43,,M43=6503.02,Round,21.28,11.52,6,4,5,5.5,4.8,4,2.5,3.5,3.3,1,1,0.5,0.8,6,6,5,6,0.42,0.12,0.29
RM-08-M43,,M43=6503.03,Rectangle,27.33,5.94,7,2,3,3,2.7,2,3,2.5,2.5,0.25,0.5,1,0.6,7,8,8,8,0.18,0.11,0.05
RM-08-M43,,M43=6503.04,Oval,21.73,8.23,5,1.5,1.5,3,2.0,1,2.5,2.5,2.0,0.5,1,3,1.5,6,7,7,7,0.17,0.11,0.06
RM-08-M43,,M43=6503.05,Square,17.57,7.04,6,2,2.5,2.5,2.3,2.5,2.5,3,2.7,1,1,1,1.0,6,6,5,6,0.09,0.07,0.03
